mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.22,"6 km WNW of Cobb, CA",1718061422990,1718061517382,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020527,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020527&format=geojson,,,,,automatic,0,23,nc,75020527,",nc75020527,",",nc,",",nearby-cities,origin,phase-data,",15.0,0.002266,0.03,75.0,md,earthquake,"M 1.2 - 6 km WNW of Cobb, CA"
1.84,"27 km NNW of Huntington, Oregon",1718061355710,1718148080460,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62005867,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62005867&format=geojson,,,,,reviewed,0,52,uw,62005867,",uw62005867,",",uw,",",origin,phase-data,",5.0,0.3046,0.43,150.0,ml,explosion,"M 1.8 Explosion - 27 km NNW of Huntington, Oregon"
1.2,"13 km E of Fox, Alaska",1718061339575,1718061447981,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247gauhph,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247gauhph&format=geojson,,,,,automatic,0,22,ak,0247gauhph,",ak0247gauhph,",",ak,",",origin,phase-data,",,,0.51,,ml,earthquake,"M 1.2 - 13 km E of Fox, Alaska"
0.74,"153 km W of Adak, Alaska",1718061218150,1718080133380,,https://earthquake.usgs.gov/earthquakes/eventpage/av93158681,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93158681&format=geojson,,,,,reviewed,0,8,av,93158681,",av93158681,",",av,",",origin,phase-data,",5.0,0.05846,0.27,317.0,ml,earthquake,"M 0.7 - 153 km W of Adak, Alaska"
1.07,"2 km NNW of The Geysers, CA",1718061016820,1718061112361,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020517,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020517&format=geojson,,,,,automatic,0,18,nc,75020517,",nc75020517,",",nc,",",nearby-cities,origin,phase-data,",17.0,0.01467,0.04,81.0,md,earthquake,"M 1.1 - 2 km NNW of The Geysers, CA"
1.4,"32 km SSW of Cantwell, Alaska",1718060762788,1718060879567,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247gashfa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247gashfa&format=geojson,,,,,automatic,0,30,ak,0247gashfa,",ak0247gashfa,",",ak,",",origin,phase-data,",,,0.92,,ml,earthquake,"M 1.4 - 32 km SSW of Cantwell, Alaska"
0.2,"26 km W of Sitka, Alaska",1718060629540,1718081092650,,https://earthquake.usgs.gov/earthquakes/eventpage/av93158666,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93158666&format=geojson,,,,,reviewed,0,1,av,93158666,",av93158666,",",av,",",origin,phase-data,",3.0,0.0135,0.09,216.0,ml,earthquake,"M 0.2 - 26 km W of Sitka, Alaska"
-0.1,"51 km ESE of Beatty, Nevada",1718060222469,1718075742310,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00879047,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00879047&format=geojson,,,,,reviewed,0,0,nn,00879047,",nn00879047,",",nn,",",origin,phase-data,",12.0,0.02,0.0584,105.23,ml,earthquake,"M -0.1 - 51 km ESE of Beatty, Nevada"
0.65,"23 km W of Sitka, Alaska",1718060068960,1718080977090,,https://earthquake.usgs.gov/earthquakes/eventpage/av93158661,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93158661&format=geojson,,,,,reviewed,0,6,av,93158661,",av93158661,",",av,",",origin,phase-data,",4.0,0.0114,0.24,175.0,ml,earthquake,"M 0.7 - 23 km W of Sitka, Alaska"
1.3,"8 km NNE of Government Camp, Oregon",1718059829790,1718083257110,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62005862,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62005862&format=geojson,,,,,reviewed,0,26,uw,62005862,",uw62005862,",",uw,",",origin,phase-data,",10.0,0.01306,0.05,66.0,ml,earthquake,"M 1.3 - 8 km NNE of Government Camp, Oregon"
1.22,"8 km NNE of Government Camp, Oregon",1718059798800,1718083444560,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62005857,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62005857&format=geojson,,,,,reviewed,0,23,uw,62005857,",uw62005857,",",uw,",",origin,phase-data,",10.0,0.01259,0.07,68.0,ml,earthquake,"M 1.2 - 8 km NNE of Government Camp, Oregon"
0.72,"3 km WNW of Borrego Springs, CA",1718059383580,1718061094219,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40619175,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40619175&format=geojson,,,,,reviewed,0,8,ci,40619175,",ci40619175,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.00952,0.18,80.0,ml,earthquake,"M 0.7 - 3 km WNW of Borrego Springs, CA"
-0.08,"28 km SSE of Mossyrock, Washington",1718059322270,1718147863870,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62005852,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62005852&format=geojson,,,,,reviewed,0,0,uw,62005852,",uw62005852,",",uw,",",origin,phase-data,",4.0,0.03501,0.03,252.0,md,earthquake,"M -0.1 - 28 km SSE of Mossyrock, Washington"
5.1,central East Pacific Rise,1718058884670,1718059995040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mrl5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mrl5&format=geojson,,,,,reviewed,0,400,us,7000mrl5,",us7000mrl5,",",us,",",origin,phase-data,",53.0,29.375,0.73,174.0,mb,earthquake,M 5.1 - central East Pacific Rise
0.24,"25 km W of Sitka, Alaska",1718058859040,1718080816290,,https://earthquake.usgs.gov/earthquakes/eventpage/av93011284,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93011284&format=geojson,,,,,reviewed,0,1,av,93011284,",av93011284,",",av,",",origin,phase-data,",4.0,0.02235,0.1,227.0,ml,earthquake,"M 0.2 - 25 km W of Sitka, Alaska"
0.61,"23 km W of Sitka, Alaska",1718058828930,1718080525940,,https://earthquake.usgs.gov/earthquakes/eventpage/av93158641,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93158641&format=geojson,,,,,reviewed,0,6,av,93158641,",av93158641,",",av,",",origin,phase-data,",5.0,0.0102,0.21,188.0,ml,earthquake,"M 0.6 - 23 km W of Sitka, Alaska"
1.6,"79 km NW of Rampart, Alaska",1718058566564,1718058694174,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247gac14g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247gac14g&format=geojson,,,,,automatic,0,39,ak,0247gac14g,",ak0247gac14g,",",ak,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 1.6 - 79 km NW of Rampart, Alaska"
3.92,"206 km NNW of The Valley, Anguilla",1718058474400,1718060064590,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2024162002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2024162002&format=geojson,,,,,reviewed,0,236,pr,2024162002,",pr2024162002,",",pr,",",origin,phase-data,",23.0,1.7757,0.46,305.0,md,earthquake,"M 3.9 - 206 km NNW of The Valley, Anguilla"
4.5,"135 km SE of Kuril’sk, Russia",1718058447106,1718064957040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mrkz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mrkz&format=geojson,,,,,reviewed,0,312,us,7000mrkz,",us7000mrkz,",",us,",",origin,phase-data,",43.0,4.619,0.81,131.0,mb,earthquake,"M 4.5 - 135 km SE of Kuril’sk, Russia"
1.4,"8 km N of Tanaina, Alaska",1718058031335,1718058179856,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247gaa41p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247gaa41p&format=geojson,,,,,automatic,0,30,ak,0247gaa41p,",ak0247gaa41p,",",ak,",",origin,phase-data,",,,0.35,,ml,earthquake,"M 1.4 - 8 km N of Tanaina, Alaska"
4.8,"Izu Islands, Japan region",1718057358451,1718058229040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mrkv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mrkv&format=geojson,,,,,reviewed,0,354,us,7000mrkv,",us7000mrkv,",",us,",",origin,phase-data,",88.0,2.934,1.39,88.0,mww,earthquake,"M 4.8 - Izu Islands, Japan region"
2.3,"18 km NNE of Hermleigh, Texas",1718057092500,1718122652792,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ljvs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ljvs&format=geojson,,,,,reviewed,0,81,tx,2024ljvs,",tx2024ljvs,",",tx,",",origin,phase-data,",15.0,0.1,0.1,51.0,ml,earthquake,"M 2.3 - 18 km NNE of Hermleigh, Texas"
2.88,"31 km E of Willow Creek, CA",1718056716470,1718083440249,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020507,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020507&format=geojson,2.0,1.0,,,automatic,0,128,nc,75020507,",nc75020507,",",nc,",",dyfi,nearby-cities,origin,phase-data,",22.0,0.3098,0.28,54.0,md,earthquake,"M 2.9 - 31 km E of Willow Creek, CA"
1.4,"4 km SW of Tyonek, Alaska",1718056478939,1718056611862,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247g9vzdf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247g9vzdf&format=geojson,,,,,automatic,0,30,ak,0247g9vzdf,",ak0247g9vzdf,",",ak,",",origin,phase-data,",,,0.74,,ml,earthquake,"M 1.4 - 4 km SW of Tyonek, Alaska"
1.32,"7 km W of Calumet, Oklahoma",1718056394089,1718118083766,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024ljvi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024ljvi&format=geojson,,,,,reviewed,0,27,ok,2024ljvi,",ok2024ljvi,",",ok,",",origin,phase-data,",8.0,0.07648499104,0.19,152.0,ml,earthquake,"M 1.3 - 7 km W of Calumet, Oklahoma"
0.7,"6 km WNW of Cobb, CA",1718056230990,1718056326501,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020502,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020502&format=geojson,,,,,automatic,0,8,nc,75020502,",nc75020502,",",nc,",",nearby-cities,origin,phase-data,",11.0,0.001167,0.03,72.0,md,earthquake,"M 0.7 - 6 km WNW of Cobb, CA"
0.95,"7 km NW of The Geysers, CA",1718054627130,1718054722300,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020482,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020482&format=geojson,,,,,automatic,0,14,nc,75020482,",nc75020482,",",nc,",",nearby-cities,origin,phase-data,",12.0,0.008763,0.01,102.0,md,earthquake,"M 1.0 - 7 km NW of The Geysers, CA"
1.9100000000000001,"4 km SSW of Princeton, Canada",1718054171030,1718147640770,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62005837,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62005837&format=geojson,,,,,reviewed,0,56,uw,62005837,",uw62005837,",",uw,",",origin,phase-data,",6.0,0.6006,0.18,225.0,ml,explosion,"M 1.9 Explosion - 4 km SSW of Princeton, Canada"
0.34,"268 km W of Adak, Alaska",1718053189900,1718079129430,,https://earthquake.usgs.gov/earthquakes/eventpage/av93158516,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93158516&format=geojson,,,,,reviewed,0,2,av,93158516,",av93158516,",",av,",",origin,phase-data,",4.0,0.06642,0.22,315.0,ml,earthquake,"M 0.3 - 268 km W of Adak, Alaska"
2.02,"14 km NE of Milford, Utah",1718053044360,1718054072400,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072936&format=geojson,,,,,reviewed,0,63,uu,80072936,",uu80072936,",",uu,",",origin,phase-data,",27.0,0.01089,0.14,50.0,ml,earthquake,"M 2.0 - 14 km NE of Milford, Utah"
1.8800000000000001,"4 km SW of Entiat, Washington",1718052865650,1718054116960,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62005822,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw62005822&format=geojson,,,,,reviewed,0,54,uw,62005822,",uw62005822,",",uw,",",origin,phase-data,",22.0,0.02048,0.13,70.0,ml,earthquake,"M 1.9 - 4 km SW of Entiat, Washington"
0.93,"9 km NW of The Geysers, CA",1718052465910,1718052562119,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020477,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020477&format=geojson,,,,,automatic,0,13,nc,75020477,",nc75020477,",",nc,",",nearby-cities,origin,phase-data,",18.0,0.007096,0.02,86.0,md,earthquake,"M 0.9 - 9 km NW of The Geysers, CA"
1.26,"14 km NE of Milford, Utah",1718052421950,1718140799620,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072931,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072931&format=geojson,,,,,reviewed,0,24,uu,80072931,",uu80072931,",",uu,",",origin,phase-data,",12.0,0.007207,0.09,88.0,md,earthquake,"M 1.3 - 14 km NE of Milford, Utah"
4.3,"39 km S of Jurm, Afghanistan",1718052334407,1718053168040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mrkn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mrkn&format=geojson,,,,,reviewed,0,284,us,7000mrkn,",us7000mrkn,",",us,",",origin,phase-data,",26.0,2.575,0.41,150.0,mb,earthquake,"M 4.3 - 39 km S of Jurm, Afghanistan"
0.85,"14 km NE of Milford, Utah",1718052130290,1718125365180,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072926,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072926&format=geojson,,,,,reviewed,0,11,uu,80072926,",uu80072926,",",uu,",",origin,phase-data,",16.0,0.009665,0.11,55.0,md,earthquake,"M 0.9 - 14 km NE of Milford, Utah"
2.3,"4 km S of Salcha, Alaska",1718051677596,1718051777933,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247g969cf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247g969cf&format=geojson,,,,,automatic,0,81,ak,0247g969cf,",ak0247g969cf,",",ak,",",origin,phase-data,",,,0.39,,ml,earthquake,"M 2.3 - 4 km S of Salcha, Alaska"
1.02,"14 km NE of Milford, Utah",1718051637650,1718123582940,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072911,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072911&format=geojson,,,,,reviewed,0,16,uu,80072911,",uu80072911,",",uu,",",origin,phase-data,",16.0,0.01034,0.14,58.0,md,earthquake,"M 1.0 - 14 km NE of Milford, Utah"
2.1,"69 km ESE of Denali National Park, Alaska",1718051539274,1718051660944,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247g95shz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247g95shz&format=geojson,,,,,automatic,0,68,ak,0247g95shz,",ak0247g95shz,",",ak,",",origin,phase-data,",,,0.22,,ml,earthquake,"M 2.1 - 69 km ESE of Denali National Park, Alaska"
1.5,"54 km SSE of Denali National Park, Alaska",1718051437028,1718051569361,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247g95eg5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247g95eg5&format=geojson,,,,,automatic,0,35,ak,0247g95eg5,",ak0247g95eg5,",",ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 1.5 - 54 km SSE of Denali National Park, Alaska"
1.8,"30 km N of Glacier View, Alaska",1718051230197,1718051358530,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0247g94p6p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0247g94p6p&format=geojson,,,,,automatic,0,50,ak,0247g94p6p,",ak0247g94p6p,",",ak,",",origin,phase-data,",,,0.68,,ml,earthquake,"M 1.8 - 30 km N of Glacier View, Alaska"
2.3,"38 km ENE of McKinney Acres, Texas",1718051221301,1718119247427,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ljsm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ljsm&format=geojson,,,,,reviewed,0,81,tx,2024ljsm,",tx2024ljsm,",",tx,",",origin,phase-data,",40.0,0.0,0.3,60.0,ml,earthquake,"M 2.3 - 38 km ENE of McKinney Acres, Texas"
1.90999997,"6 km SW of Volcano, Hawaii",1718050485340,1718050642900,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74271566,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74271566&format=geojson,,,,,automatic,0,56,hv,74271566,",hv74271566,",",hv,",",origin,phase-data,",14.0,0.008318,0.150000006,54.0,md,earthquake,"M 1.9 - 6 km SW of Volcano, Hawaii"
2.4,"7 km NE of Hermleigh, Texas",1718050451265,1718119716464,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ljsc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ljsc&format=geojson,,,,,reviewed,0,89,tx,2024ljsc,",tx2024ljsc,",",tx,",",origin,phase-data,",17.0,0.0,0.1,56.0,ml,earthquake,"M 2.4 - 7 km NE of Hermleigh, Texas"
1.25,"14 km NE of Milford, Utah",1718050003160,1718136726710,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072891&format=geojson,,,,,reviewed,0,24,uu,80072891,",uu80072891,",",uu,",",origin,phase-data,",11.0,0.00901,0.11,78.0,md,earthquake,"M 1.3 - 14 km NE of Milford, Utah"
3.16,"57 km WSW of Captain Cook, Hawaii",1718049839600,1718053113960,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74271556,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74271556&format=geojson,,,,,reviewed,0,154,hv,74271556,",us7000mrk9,hv74271556,",",us,hv,",",origin,phase-data,",59.0,0.5114,0.13,230.0,ml,earthquake,"M 3.2 - 57 km WSW of Captain Cook, Hawaii"
2.04,"12 km W of Petrolia, CA",1718049661170,1718049756816,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020462,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020462&format=geojson,,,,,automatic,0,64,nc,75020462,",nc75020462,",",nc,",",nearby-cities,origin,phase-data,",12.0,0.07319,0.09,294.0,md,earthquake,"M 2.0 - 12 km W of Petrolia, CA"
0.43,"268 km W of Adak, Alaska",1718049029530,1718078657440,,https://earthquake.usgs.gov/earthquakes/eventpage/av93158461,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93158461&format=geojson,,,,,reviewed,0,3,av,93158461,",av93158461,",",av,",",origin,phase-data,",4.0,0.07084,0.22,315.0,ml,earthquake,"M 0.4 - 268 km W of Adak, Alaska"
1.57,"14 km S of Fern Forest, Hawaii",1718048351440,1718049975280,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74271536,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74271536&format=geojson,,,,,reviewed,0,38,hv,74271536,",hv74271536,",",hv,",",origin,phase-data,",28.0,0.04486,0.07,136.0,ml,earthquake,"M 1.6 - 14 km S of Fern Forest, Hawaii"
1.3,"3 km SE of The Geysers, CA",1718048350360,1718048449536,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020457,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020457&format=geojson,,,,,automatic,0,26,nc,75020457,",nc75020457,",",nc,",",nearby-cities,origin,phase-data,",16.0,0.005634,0.04,111.0,md,earthquake,"M 1.3 - 3 km SE of The Geysers, CA"
1.63,"Rat Islands, Aleutian Islands, Alaska",1718048330630,1718078391200,,https://earthquake.usgs.gov/earthquakes/eventpage/av93158436,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93158436&format=geojson,,,,,reviewed,0,41,av,93158436,",av93158436,",",av,",",origin,phase-data,",4.0,0.02651,0.27,306.0,ml,earthquake,"M 1.6 - Rat Islands, Aleutian Islands, Alaska"
0.98,"6 km WNW of Cobb, CA",1718048182450,1718048277614,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020452,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020452&format=geojson,,,,,automatic,0,15,nc,75020452,",nc75020452,",",nc,",",nearby-cities,origin,phase-data,",18.0,0.01112,0.01,46.0,md,earthquake,"M 1.0 - 6 km WNW of Cobb, CA"
2.22,"3 km SE of The Geysers, CA",1718048038760,1718048229550,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020447,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020447&format=geojson,,,,,automatic,0,76,nc,75020447,",nc75020447,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",44.0,0.005644,0.12,30.0,md,earthquake,"M 2.2 - 3 km SE of The Geysers, CA"
0.76,"4 km WNW of Cobb, CA",1718047745440,1718047842555,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75020437,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75020437&format=geojson,,,,,automatic,0,9,nc,75020437,",nc75020437,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.003825,0.04,105.0,md,earthquake,"M 0.8 - 4 km WNW of Cobb, CA"
0.68,"14 km NE of Milford, Utah",1718047515580,1718121213080,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072876&format=geojson,,,,,reviewed,0,7,uu,80072876,",uu80072876,",",uu,",",origin,phase-data,",13.0,0.01346,0.1,55.0,md,earthquake,"M 0.7 - 14 km NE of Milford, Utah"
4.2,"189 km ENE of Levuka, Fiji",1718046990032,1718048071040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mrjz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000mrjz&format=geojson,,,,,reviewed,0,271,us,7000mrjz,",us7000mrjz,",",us,",",origin,phase-data,",36.0,1.979,0.58,127.0,mb,earthquake,"M 4.2 - 189 km ENE of Levuka, Fiji"
1.67,"13 km NE of Milford, Utah",1718046844280,1718047843600,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80001318,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80001318&format=geojson,,,,,reviewed,0,43,uu,80001318,",uu80001318,",",uu,",",origin,phase-data,",13.0,0.01051,0.12,98.0,ml,earthquake,"M 1.7 - 13 km NE of Milford, Utah"
1.72,"13 km NE of Milford, Utah",1718046827570,1718054948900,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80072871,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80072871&format=geojson,,,,,reviewed,0,46,uu,80072871,",uu80072871,",",uu,",",origin,phase-data,",19.0,0.01345,0.15,58.0,ml,earthquake,"M 1.7 - 13 km NE of Milford, Utah"
